Date,4/25/2011,
Time,10:41:22,
Y_Unit_Label,Acceleration (g),
X_Dimension,Time (s),
X0,40:59.2,
Delta_X,0.0005,
***End_of_Header***,,
X_Value,Acceleration - Dev1_ai0,Comment
0.3265,0.033161,
0.327,0.024273,
0.3275,0.013773,
0.328,0.004472,
0.3285,-0.005976,
0.329,-0.016364,
0.3295,-0.026249,
0.33,-0.038026,
0.3305,-0.047641,
0.331,-0.057093,
0.3315,-0.068346,
0.332,-0.078014,
0.3325,-0.087794,
0.333,-0.098988,
0.3335,-0.108512,
0.334,-0.11816,
0.3345,-0.128922,
0.335,-0.139029,
0.3355,-0.149044,
0.336,-0.157468,
0.3365,-0.167391,
0.337,-0.177419,
0.3375,-0.186668,
0.338,-0.198963,
0.3385,-0.207033,
0.339,-0.216904,
0.3395,-0.22777,
0.34,-0.235296,
0.3405,-0.246432,
0.341,-0.25217,
0.3415,-0.261248,
0.342,-0.269606,
0.3425,-0.278848,
0.343,-0.287377,
0.3435,-0.295518,
0.344,-0.304027,
0.3445,-0.311691,
0.345,-0.320691,
0.3455,-0.327365,
0.346,-0.334616,
0.3465,-0.343596,
0.347,-0.349891,
0.3475,-0.358111,
0.348,-0.365932,
0.3485,-0.3726,
0.349,-0.37991,
0.3495,-0.385137,
0.35,-0.393607,
0.3505,-0.397085,
0.351,-0.40467,
0.3515,-0.410185,
0.352,-0.417037,
0.3525,-0.423174,
0.353,-0.428899,
0.3535,-0.433962,
0.354,-0.440348,
0.3545,-0.445379,
0.355,-0.449748,
0.3555,-0.454851,
0.356,-0.45863,
0.3565,-0.463916,
0.357,-0.467309,
0.3575,-0.471586,
0.358,-0.475536,
0.3585,-0.480147,
0.359,-0.481372,
0.3595,-0.485047,
0.36,-0.486422,
0.3605,-0.490424,
0.361,-0.492632,
0.3615,-0.494276,
0.362,-0.49649,
0.3625,-0.499948,
0.363,-0.50076,
0.3635,-0.502752,
0.364,-0.505935,
0.3645,-0.507442,
0.365,-0.509249,
0.3655,-0.510409,
0.366,-0.510684,
0.3665,-0.510821,
0.367,-0.511928,
0.3675,-0.512177,
0.368,-0.511948,
0.3685,-0.510795,
0.369,-0.510101,
0.3695,-0.508712,
0.37,-0.508404,
0.3705,-0.506184,
0.371,-0.504075,
0.3715,-0.50361,
0.372,-0.501383,
0.3725,-0.498599,
0.373,-0.495881,
0.3735,-0.494047,
0.374,-0.49256,
0.3745,-0.488964,
0.375,-0.486697,
0.3755,-0.484077,
0.376,-0.479944,
0.3765,-0.478005,
0.377,-0.472739,
0.3775,-0.469772,
0.378,-0.465724,
0.3785,-0.462252,
0.379,-0.457981,
0.3795,-0.451608,
0.38,-0.447626,
0.3805,-0.441829,
0.381,-0.437532,
0.3815,-0.43279,
0.382,-0.425565,
0.3825,-0.420737,
0.383,-0.414154,
0.3835,-0.40839,
0.384,-0.402069,
0.3845,-0.393332,
0.385,-0.387921,
0.3855,-0.381142,
0.386,-0.375371,
0.3865,-0.366725,
0.387,-0.360391,
0.3875,-0.35293,
0.388,-0.346662,
0.3885,-0.338094,
0.389,-0.328976,
0.3895,-0.32185,
0.39,-0.314324,
0.3905,-0.309169,
0.391,-0.300529,
0.3915,-0.290291,
0.392,-0.281272,
0.3925,-0.274682,
0.393,-0.26544,
0.3935,-0.255838,
0.394,-0.247119,
0.3945,-0.237229,
0.395,-0.229382,
0.3955,-0.2197,
0.396,-0.211277,
0.3965,-0.200233,
0.397,-0.191862,
0.3975,-0.181664,
0.398,-0.172539,
0.3985,-0.163454,
0.399,-0.15283,
0.3995,-0.142756,
0.4,-0.13244,
0.4005,-0.123289,
0.401,-0.113477,
0.4015,-0.103894,
0.402,-0.093348,
0.4025,-0.083824,
0.403,-0.07529,
0.4035,-0.064338,
0.404,-0.054853,
0.4045,-0.043377,
0.405,-0.034783,
